ID,Site,Layer,Core.type,Core.classification,Core.classification.2,Laminar,Carinated,Core.blank,Platform.number,Surfaces.number,Blank.production,Bipolar.core,Striking.platform,Second.striking.platform,Flaking.surface,Reduction.pattern,Length,Width,Thickness,Flaking.surface.length,Flaking.surface.width,Second.flaking.surface.length,Second.flaking.surface.width,Last.removal.blank,Last.removal.length,Last.removal.width,Cortex,Cortex.position.core,Flaking.surface.profile,Second.flaking.surface.profile,Ratio_fsl_thickness,Ratio_l_t,Ratio_fsl_width,Ratio_l_w,Ratio_w_t,Volume,Area,raw.material.source,raw.material.type,raw.material.lumped,raw.material.provenience,scars.platform,scars.flaking.surface,scars.total,SDI,logSDI,X3D,Scanner
RB_568,RB,A1,Platform laminar,Narrow-sided,Narrow-sided,yes,no,Pebble,1,1,Bladelet,FALSE,Plain,NA,Unidirectional,Sub-parallel,32.09999847,21.29999924,19.5,31,21.20000076,NA,NA,Bladelet,16.9,5.7,33-66%,Back;Lateral left,Slightly-Convex,NA,1.58974359,1.646153768,1.455399113,1.507042236,1.092307653,5683.362305,1904.672487,Local,Chert,Local,Local,2,14,16,0.008400394,-2.075700326,yes,Artec.Spider
RB_569,RB,A1,Platform laminar,Wide-faced flat,Wide-faced flat,yes,no,Undetermined,1,1,Bladelet,FALSE,Plain,NA,Unidirectional,Convergent,28.29999924,23.89999962,14.39999962,25.39999962,21.70000076,NA,NA,Bladelet,15.3,6.4,0%,NA,Straight,NA,1.763888909,1.965277777,1.062761507,1.184100405,1.65972224,4359.668945,1739.708255,Undetermined,Undetermined,Undetermined,Undetermined,2,8,10,0.00574809,-2.240476424,yes,Artec.Spider
RB_570,RB,A1,Platform laminar,Multi-platform,Multi-platform;Semi-circumferential,yes,no,Undetermined,2-unrelated,1,Bladelet,FALSE,Reshaped,Plain,Unidirectional,Convergent,26.89999962,24.20000076,20.29999924,23.89999962,21.70000076,23,13.5,Bladelet,19.7,5.6,0%,NA,Straight,NA,1.177339927,1.325123184,0.987603259,1.111570197,1.192118309,5063.742676,1723.347995,Distant.France,Chert,Distant,France,4,19,23,0.013346115,-1.874645147,yes,Artec.Spider
RB_571,RB,A1,Platform laminar,Multi-platform,Multi-platform;Semi-circumferential;Wide-faced flat,yes,no,Pebble,2-unrelated,2,Bladelet,FALSE,Plain,Plain,Unidirectional,Convergent,41.29999924,29.79999924,16,38.70000076,29.60000038,26.60000038,20.29999924,Bladelet,23.7,8.7,1-33%,Back,Straight,Slightly-Convex,2.418750048,2.581249952,1.298657777,1.38590605,1.862499952,6642.842773,2412.795718,Very-distant.France,Chert,Very.distant,France,2,17,19,0.007874682,-2.103766952,yes,Artec.Spider
RB_572,RB,A1,Bipolar,Bipolar,Semi-circumferential,yes,no,Undetermined,2-opposed,2,Bladelet-Flake,TRUE,Diedro,Diedro,Bidirectional,Sub-parallel,19.5,9.699999809,8,19.39999962,8.600000381,NA,NA,Bladelet,14.8,5,0%,NA,NA,NA,2.424999952,2.4375,2,2.010309318,1.212499976,621.2302246,453.1495582,Distant.Italy,Jasper,Distant,Italy,2,10,12,0.026481323,-1.577060315,yes,Artec.Spider
RB_573,RB,A1,Platform laminar,Wide-faced flat,Wide-faced flat,yes,no,Pebble,1,1,Bladelet,FALSE,Plain,NA,Unidirectional,Sub-parallel,25.79999924,24,8.300000191,25.39999962,23.39999962,NA,NA,Bladelet,15.7,4.9,33-66%,Back,Straight,NA,3.060240848,3.108433572,1.058333317,1.074999968,2.891566199,2431.598633,1197.927949,Very-distant.France,Chert,Very.distant,France,1,15,16,0.013356396,-1.874310715,yes,Artec.Spider
RB_575,RB,A2,Multidirectional,Multidirectional,Multidirectional,no,no,Block,3,3,Flake,FALSE,NA,NA,NA,NA,90,75.09999847,50.40000153,NA,NA,NA,NA,NA,NA,NA,0%,NA,NA,NA,NA,1.785714232,NA,1.198402155,1.49007929,141999.2813,18350.94926,Local,Chert,Local,Local,0,15,15,0.000817396,-3.087567275,yes,Artec.Spider
RB_576,RB,A2,Tested,Tested,Tested,no,no,Nodule,1,NA,Flake,FALSE,NA,NA,NA,NA,49.40000153,51.79999924,49.79999924,NA,NA,NA,NA,NA,NA,NA,33-66%,Back;Base,NA,NA,NA,0.991967917,NA,0.953667997,1.040160643,58862.01563,9639.198891,Local,Chert,Local,Local,1,2,3,0.000311229,-3.506919687,yes,Artec.Spider
RB_577,RB,A2,Multidirectional,Multidirectional,Multidirectional,no,no,Block,3,3,Flake,FALSE,NA,NA,NA,NA,42,49.70000076,39.20000076,NA,NA,NA,NA,NA,NA,NA,0%,NA,NA,NA,NA,1.071428551,NA,0.84507041,1.267857138,28674.16797,6110.597871,Local,Chert,Local,Local,0,21,21,0.003436652,-2.46386441,yes,Artec.Spider
RB_578,RB,A2,Initial,Initial laminar,Semi-circumferential,yes,no,Nodule,1,1,Bladelet-Flake,FALSE,Plain,NA,Unidirectional,Sub-parallel,33.20000076,29.29999924,30.60000038,32,32,NA,NA,Undetermined,NA,NA,33-66%,Back;Lateral right,NA,NA,1.045751621,1.084967332,1.092150199,1.133105858,0.957516303,14202.96777,3599.123696,Distant.France,Chert,Distant,France,1,13,14,0.003889836,-2.410068737,yes,Artec.Spider
